팀명,순위,선수명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
KIA,1,김규성,0.500,6,4,2,1,1,1,0,0,2,2,0,0
KIA,2,김도영,0.354,93,417,364,97,129,20,5,25,234,71,1,5
KIA,3,박정우,0.350,29,21,20,6,7,3,0,0,10,5,0,0
KIA,4,이우성,0.317,75,314,278,47,88,11,1,8,125,46,0,1
KIA,5,한준수,0.310,76,211,187,27,58,14,0,4,84,29,0,5
KIA,6,홍종표,0.308,63,87,78,16,24,4,2,0,32,8,3,0
KIA,7,최원준,0.307,91,346,306,54,94,17,3,7,138,42,4,1
KIA,8,소크라테스,0.303,95,414,376,67,114,19,1,21,198,70,0,2
KIA,9,김선빈,0.297,75,299,266,31,79,11,0,6,108,32,2,0
KIA,10,최형우,0.295,88,382,332,58,98,20,1,19,177,91,0,3
KIA,11,박찬호,0.294,87,383,344,56,101,16,1,2,125,34,6,4
KIA,12,고종욱,0.292,22,27,24,3,7,2,0,1,12,4,0,0
KIA,13,황대인,0.286,3,7,7,1,2,1,0,0,3,3,0,0
KIA,14,서건창,0.284,70,200,162,30,46,11,1,1,62,18,3,2
KIA,15,나성범,0.282,64,279,245,29,69,16,1,11,120,53,0,4
KIA,16,박민,0.276,16,30,29,5,8,4,0,0,12,2,0,0
KIA,17,김태군,0.267,71,187,165,18,44,5,0,5,64,27,6,0
KIA,18,변우혁,0.260,29,81,77,9,20,3,2,1,30,5,0,0
KIA,19,이창진,0.252,75,172,127,26,32,6,0,0,38,10,5,2
KIA,20,예진원,0.211,22,21,19,2,4,1,0,0,5,0,0,0
KIA,21,김호령,0.147,43,39,34,6,5,0,0,1,8,3,0,0
KIA,22,곽도규,-,1,0,0,0,0,0,0,0,0,0,0,0
KIA,22,김승현,-,1,0,0,0,0,0,0,0,0,0,0,0
KIA,22,이형범,-,1,0,0,0,0,0,0,0,0,0,0,0
KIA,22,전상현,-,1,0,0,0,0,0,0,0,0,0,0,0
KIA,22,정해영,-,1,0,0,0,0,0,0,0,0,0,0,0
KIA,22,최지민,-,1,0,0,0,0,0,0,0,0,0,0,0
KIA,22,한승택,0.000,4,2,1,0,0,0,0,0,0,0,0,0
KIA,22,황동하,-,1,0,0,0,0,0,0,0,0,0,0,0
LG,1,최원영,0.364,23,12,11,5,4,1,0,0,5,2,0,0
LG,2,김대원,0.333,17,3,3,5,1,0,0,0,1,0,0,0
LG,2,최명경,0.333,1,3,3,0,1,0,0,0,1,0,0,0
LG,4,문성주,0.318,86,332,277,44,88,16,2,0,108,46,1,3
LG,5,홍창기,0.316,92,419,342,61,108,5,3,4,131,50,1,2
LG,6,오스틴,0.304,94,406,352,60,107,21,2,20,192,77,0,11
LG,7,김현수,0.294,90,392,350,47,103,18,2,7,146,50,0,7
LG,8,문보경,0.286,96,386,329,46,94,19,2,13,156,55,1,11
LG,9,신민재,0.283,93,324,269,49,76,9,2,0,89,29,7,3
LG,10,박동원,0.277,85,325,271,41,75,14,0,14,131,55,1,7
LG,11,김범석,0.273,47,143,128,13,35,4,0,6,57,23,0,1
LG,12,오지환,0.265,62,233,200,35,53,17,1,3,81,25,1,0
LG,13,구본혁,0.264,87,259,231,31,61,10,0,2,77,34,1,3
LG,14,박해민,0.259,96,374,328,50,85,7,5,3,111,37,4,7
LG,15,김현종,0.250,15,13,12,8,3,1,0,0,4,2,0,0
LG,16,안익훈,0.195,29,48,41,7,8,1,0,0,9,3,2,1
LG,17,김주성,0.167,12,9,6,1,1,0,0,0,1,0,0,0
LG,17,최승민,0.167,32,6,6,11,1,0,0,0,1,0,0,0
LG,17,허도환,0.167,41,78,60,8,10,2,0,0,12,9,5,1
LG,20,김성진,0.143,7,8,7,0,1,0,0,0,1,0,0,0
LG,21,김민수,0.125,6,9,8,0,1,0,0,0,1,0,0,0
LG,22,김대현,-,2,0,0,0,0,0,0,0,0,0,0,0
LG,22,김성우,0.000,2,4,4,0,0,0,0,0,0,0,0,0
LG,22,김진성,-,1,0,0,0,0,0,0,0,0,0,0,0
LG,22,김태우,0.000,4,3,3,0,0,0,0,0,0,0,0,0
LG,22,백승현,0.000,1,1,1,0,0,0,0,0,0,0,0,0
LG,22,송찬의,0.000,5,8,6,1,0,0,0,0,0,0,0,0
LG,22,유영찬,-,3,0,0,0,0,0,0,0,0,0,0,0
LG,22,이영빈,-,1,0,0,0,0,0,0,0,0,0,0,0
LG,22,이지강,-,1,0,0,0,0,0,0,0,0,0,0,0
삼성,1,카데나스,0.333,4,19,18,2,6,2,0,2,14,5,0,0
삼성,2,강민호,0.309,93,293,256,34,79,9,1,11,123,49,0,4
삼성,3,구자욱,0.305,90,397,351,59,107,26,1,20,195,71,0,4
삼성,4,김지찬,0.304,94,352,296,63,90,11,0,3,110,23,8,1
삼성,5,윤정빈,0.296,32,92,81,10,24,2,0,3,35,12,0,2
삼성,6,맥키넌,0.294,72,315,272,28,80,13,0,4,105,36,0,3
삼성,7,김헌곤,0.286,77,200,182,28,52,7,0,8,83,22,2,0
삼성,8,이재현,0.281,64,268,231,40,65,15,0,9,107,40,0,2
삼성,9,류지혁,0.280,61,228,200,30,56,6,1,2,70,31,2,2
삼성,10,이병헌,0.269,68,119,104,5,28,4,0,1,35,6,1,0
삼성,11,김태훈,0.267,9,16,15,2,4,1,0,0,5,1,0,0
삼성,12,김영웅,0.258,89,373,330,51,85,12,3,19,160,54,1,3
삼성,13,이성규,0.253,90,260,221,40,56,6,1,17,115,45,4,2
삼성,14,김재상,0.238,35,91,84,13,20,4,0,2,30,12,1,1
삼성,15,김성윤,0.222,28,77,63,13,14,2,0,0,16,6,3,2
삼성,16,안주형,0.215,45,95,79,15,17,2,0,0,19,4,8,0
삼성,17,박병호,0.211,80,257,213,28,45,5,0,9,77,28,0,0
삼성,18,김현준,0.202,37,106,94,14,19,7,1,0,28,6,1,2
삼성,19,김재성,0.200,10,23,20,3,4,1,0,0,5,1,0,0
삼성,20,전병우,0.193,32,68,57,6,11,3,0,0,14,5,0,1
삼성,21,김동엽,0.182,6,14,11,1,2,1,0,0,3,2,0,1
삼성,22,김재혁,0.159,28,49,44,6,7,2,1,0,11,6,0,2
삼성,23,이창용,0.154,5,13,13,0,2,0,0,0,2,0,0,0
삼성,24,김동진,0.125,26,37,32,5,4,0,0,1,7,2,2,0
삼성,25,강한울,0.095,18,25,21,1,2,0,0,0,2,1,3,1
삼성,26,공민규,0.077,11,16,13,1,1,0,0,1,4,2,0,0
삼성,27,김호진,0.074,24,30,27,4,2,0,0,0,2,3,0,1
삼성,28,김대우,-,1,0,0,0,0,0,0,0,0,0,0,0
삼성,28,김재윤,-,1,0,0,0,0,0,0,0,0,0,0,0
삼성,28,김태훈,-,1,0,0,0,0,0,0,0,0,0,0,0
두산,1,양찬열,0.500,4,2,2,1,1,0,0,0,1,0,0,0
두산,2,양의지,0.341,83,349,314,40,107,12,0,12,155,74,0,6
두산,3,허경민,0.337,81,337,297,53,100,19,0,6,137,46,0,5
두산,4,전다민,0.333,16,24,18,6,6,1,0,0,7,1,0,0
두산,4,홍성호,0.333,13,13,12,0,4,2,0,0,6,1,0,0
두산,6,라모스,0.305,80,348,311,43,95,19,3,10,150,48,1,6
두산,7,서예일,0.286,15,14,14,1,4,0,0,0,4,1,0,0
두산,8,강승호,0.285,98,398,368,53,105,25,6,13,181,55,1,3
두산,9,이유찬,0.280,64,122,107,22,30,3,0,2,39,8,1,0
두산,10,정수빈,0.278,92,398,338,66,94,12,3,3,121,30,6,6
두산,11,전민재,0.276,68,171,156,23,43,5,0,2,54,23,2,2
두산,12,조수행,0.267,89,257,221,44,59,2,2,0,65,17,9,3
두산,13,김기연,0.262,56,167,149,21,39,5,0,4,56,17,1,2
두산,14,김재환,0.261,93,377,326,45,85,19,0,18,158,64,0,8
두산,15,양석환,0.252,97,396,357,54,90,18,1,21,173,70,0,2
두산,16,김재호,0.250,29,69,56,6,14,4,0,0,18,3,2,1
두산,16,윤준호,0.250,3,4,4,1,1,0,0,0,1,1,0,0
두산,18,박준영,0.233,56,187,163,24,38,7,2,6,67,22,1,1
두산,19,김민혁,0.200,5,8,5,1,1,0,0,1,4,2,0,0
두산,19,박계범,0.200,24,20,15,5,3,1,0,0,4,0,0,0
두산,19,안승한,0.200,4,5,5,0,1,0,0,0,1,0,0,0
두산,19,장승현,0.200,9,23,20,1,4,2,0,0,6,0,1,0
두산,23,김인태,0.174,10,26,23,3,4,0,0,1,7,2,0,1
두산,24,김대한,0.139,54,86,72,9,10,1,0,1,14,7,2,2
두산,25,김태근,0.095,29,24,21,3,2,0,0,0,2,1,1,0
두산,26,김동주,-,1,0,0,0,0,0,0,0,0,0,0,0
두산,26,김명신,-,3,0,0,0,0,0,0,0,0,0,0,0
두산,26,김민규,-,1,0,0,0,0,0,0,0,0,0,0,0
두산,26,김호준,-,2,0,0,0,0,0,0,0,0,0,0,0
두산,26,박민준,0.000,2,2,2,0,0,0,0,0,0,0,0,0
SSG,1,에레디아,0.362,85,372,340,49,123,18,1,10,173,74,0,6
SSG,2,박지환,0.341,40,146,129,24,44,6,2,2,60,15,3,1
SSG,3,정준재,0.325,40,88,77,17,25,2,1,0,29,7,1,0
SSG,4,박성한,0.305,91,395,341,59,104,17,0,6,139,45,3,5
SSG,5,최정,0.289,82,349,291,58,84,18,1,24,176,72,0,5
SSG,6,최지훈,0.279,93,420,369,69,103,17,6,8,156,39,5,2
SSG,7,추신수,0.277,50,190,155,27,43,8,0,3,60,23,1,4
SSG,8,이지영,0.276,74,263,243,28,67,5,1,2,80,28,4,2
SSG,9,김민식,0.266,30,94,79,8,21,5,0,1,29,10,1,0
SSG,10,고명준,0.261,87,310,291,28,76,12,0,10,118,40,0,0
SSG,11,최준우,0.261,15,31,23,2,6,2,0,0,8,5,0,0
SSG,12,오태곤,0.255,71,127,110,16,28,5,0,1,36,8,2,1
SSG,13,조형우,0.250,14,33,28,4,7,0,0,0,7,4,0,0
SSG,13,하재훈,0.250,70,205,188,20,47,12,0,4,71,22,1,5
SSG,15,한유섬,0.240,84,329,287,42,69,17,0,16,134,58,0,3
SSG,16,김성현,0.234,33,92,77,14,18,2,0,0,20,8,2,0
SSG,17,강진성,0.185,16,31,27,4,5,0,0,0,5,2,1,0
SSG,18,안상현,0.175,29,68,63,2,11,1,0,0,12,2,1,0
SSG,19,최경모,0.171,50,50,35,12,6,0,0,0,6,0,7,0
SSG,20,정현승,0.158,13,20,19,0,3,0,0,0,3,2,0,0
SSG,21,전의산,0.098,24,45,41,1,4,0,0,1,7,2,0,0
SSG,22,김찬형,0.000,5,9,9,0,0,0,0,0,0,0,0,0
SSG,22,김창평,0.000,6,9,7,1,0,0,0,0,0,0,0,0
SSG,22,류효승,0.000,1,2,2,0,0,0,0,0,0,0,0,0
SSG,22,문승원,0.000,5,1,1,0,0,0,0,0,0,0,0,0
SSG,22,박민호,-,1,0,0,0,0,0,0,0,0,0,0,0
SSG,22,이로운,-,2,0,0,0,0,0,0,0,0,0,0,0
SSG,22,조병현,-,1,0,0,0,0,0,0,0,0,0,0,0
SSG,22,최민창,0.000,7,3,3,2,0,0,0,0,0,0,0,0
SSG,22,최상민,0.000,2,1,1,1,0,0,0,0,0,0,0,0
NC,1,김한별,0.370,18,31,27,6,10,1,0,0,11,2,0,0
NC,2,박건우,0.351,86,353,319,57,112,23,1,13,176,53,0,2
NC,3,김수윤,0.333,5,7,6,0,2,0,0,0,2,0,0,0
NC,3,박영빈,0.333,6,3,3,1,1,1,0,0,2,0,0,0
NC,5,박민우,0.325,75,340,292,48,95,17,2,5,131,25,3,1
NC,6,손아섭,0.291,79,348,326,45,95,16,0,7,132,50,2,4
NC,7,천재환,0.291,39,62,55,9,16,3,1,1,24,8,2,0
NC,8,서호철,0.284,90,353,310,39,88,11,1,5,116,40,3,2
NC,9,권희동,0.282,87,359,294,42,83,14,1,5,114,45,2,3
NC,10,데이비슨,0.278,83,362,320,56,89,11,0,28,184,72,0,5
NC,11,최정원,0.271,40,87,70,17,19,2,0,0,21,8,1,1
NC,12,박세혁,0.247,55,104,89,10,22,5,0,1,30,7,4,0
NC,13,박시원,0.239,22,78,71,12,17,2,0,2,25,9,0,0
NC,14,김휘집,0.234,88,340,299,45,70,14,1,12,122,44,3,5
NC,15,한석현,0.217,22,25,23,4,5,0,0,0,5,2,0,0
NC,16,김형준,0.213,76,288,240,30,51,8,0,13,98,37,5,4
NC,17,박한결,0.200,21,56,50,7,10,1,0,6,29,11,0,0
NC,17,오영수,0.200,20,34,30,4,6,0,0,3,15,5,0,1
NC,19,도태훈,0.195,61,105,82,10,16,3,0,0,19,8,3,1
NC,20,김성욱,0.192,88,271,234,37,45,6,2,9,82,35,2,1
NC,21,김주원,0.191,86,276,225,31,43,6,1,5,66,29,7,2
NC,22,김세훈,0.000,7,5,4,0,0,0,0,0,0,0,0,0
NC,22,김영규,-,1,0,0,0,0,0,0,0,0,0,0,0
NC,22,김재열,-,1,0,0,0,0,0,0,0,0,0,0,0
NC,22,류진욱,-,1,0,0,0,0,0,0,0,0,0,0,0
NC,22,송명기,-,1,0,0,0,0,0,0,0,0,0,0,0
NC,22,한재승,-,1,0,0,0,0,0,0,0,0,0,0,0
KT,1,박경수,0.667,5,3,3,2,2,1,0,0,3,1,0,0
KT,2,조대현,0.500,8,10,6,0,3,0,0,0,3,1,1,0
KT,3,심우준,0.375,5,17,16,4,6,1,0,0,7,2,0,0
KT,4,로하스,0.334,94,439,371,72,124,26,0,23,219,78,0,2
KT,5,강현우,0.318,15,30,22,4,7,1,0,1,11,8,0,0
KT,6,강백호,0.300,94,423,380,69,114,18,0,23,201,71,0,2
KT,7,천성호,0.295,60,229,210,38,62,8,3,1,79,17,1,1
KT,8,김민혁,0.293,66,207,184,15,54,6,1,0,62,21,1,1
KT,9,신본기,0.292,60,117,89,14,26,3,0,3,38,15,7,2
KT,10,권동진,0.286,5,8,7,3,2,0,0,0,2,0,0,0
KT,11,안현민,0.278,9,21,18,4,5,0,1,1,10,2,0,1
KT,12,배정대,0.276,63,272,232,32,64,16,1,5,97,34,3,7
KT,13,김병준,0.273,25,13,11,7,3,0,0,0,3,0,0,0
KT,14,김상수,0.271,76,275,240,41,65,11,2,4,92,34,7,1
KT,15,장성우,0.270,87,312,267,28,72,12,0,10,114,49,1,3
KT,16,문상철,0.256,83,277,238,34,61,4,0,12,101,40,1,2
KT,17,박민석,0.250,8,4,4,2,1,0,0,0,1,0,0,0
KT,17,안치영,0.250,31,48,44,12,11,0,0,0,11,3,2,0
KT,19,오윤석,0.248,51,139,121,19,30,6,1,3,47,15,1,2
KT,20,조용호,0.243,54,150,136,15,33,4,0,0,37,11,3,0
KT,21,황재균,0.241,92,352,320,39,77,15,0,5,107,32,4,1
KT,22,김준태,0.240,23,30,25,6,6,2,0,0,8,3,0,0
KT,23,홍현빈,0.235,26,21,17,5,4,0,1,0,6,2,1,0
KT,24,오재일,0.224,61,199,174,18,39,11,1,7,73,22,0,4
KT,25,정준영,0.212,31,62,52,8,11,1,0,0,12,2,2,0
KT,26,이호연,0.152,23,35,33,2,5,1,0,0,6,0,1,0
KT,27,윤준혁,0.143,4,7,7,0,1,0,0,0,1,0,0,0
KT,28,김건형,0.125,13,25,24,2,3,1,0,0,4,1,0,0
KT,29,장준원,0.071,17,18,14,1,1,0,0,0,1,0,0,0
KT,30,강건,-,1,0,0,0,0,0,0,0,0,0,0,0
롯데,1,강성우,0.500,2,3,2,0,1,0,0,0,1,0,1,0
롯데,2,레이예스,0.358,92,399,363,54,130,24,2,10,188,78,0,7
롯데,3,이정훈,0.316,42,93,79,10,25,7,0,0,32,17,1,2
롯데,4,황성빈,0.314,77,250,223,61,70,4,4,4,94,17,5,1
롯데,5,손호영,0.312,51,202,186,32,58,12,2,8,98,37,1,1
롯데,6,나승엽,0.307,69,273,231,32,71,21,3,3,107,33,0,3
롯데,7,윤동희,0.303,89,384,333,65,101,24,3,6,149,47,2,3
롯데,8,고승민,0.293,68,296,263,47,77,14,2,6,113,45,0,4
롯데,9,전준우,0.286,57,253,224,29,64,14,1,11,113,44,1,1
롯데,10,이학주,0.263,43,105,95,13,25,2,2,2,37,4,2,0
롯데,11,박승욱,0.259,90,283,247,33,64,13,1,4,91,31,2,1
롯데,12,정훈,0.258,64,219,194,23,50,13,0,8,87,34,1,2
롯데,13,한동희,0.257,14,36,35,1,9,2,0,0,11,3,0,0
롯데,14,최항,0.250,60,133,124,14,31,3,1,0,36,12,0,0
롯데,15,정보근,0.226,47,88,84,5,19,0,1,2,27,5,2,0
롯데,16,김민석,0.203,32,80,74,10,15,3,1,0,20,6,1,0
롯데,17,김동혁,0.200,31,17,15,6,3,0,1,0,5,1,0,0
롯데,17,김민성,0.200,35,84,70,6,14,5,0,2,25,8,0,1
롯데,19,손성빈,0.195,47,90,82,15,16,3,2,3,32,8,0,0
롯데,20,유강남,0.191,52,155,136,11,26,3,0,5,44,20,2,1
롯데,21,오선진,0.188,18,23,16,0,3,1,0,0,4,0,3,0
롯데,22,노진혁,0.185,40,94,81,6,15,3,0,0,18,9,1,2
롯데,23,이주찬,0.174,14,24,23,6,4,1,0,1,8,2,0,0
롯데,24,서동욱,0.143,12,15,14,1,2,1,0,0,3,0,0,0
롯데,24,신윤후,0.143,16,24,21,3,3,0,0,0,3,1,1,0
롯데,24,장두성,0.143,28,18,14,9,2,0,0,0,2,0,0,0
롯데,27,김원중,-,1,0,0,0,0,0,0,0,0,0,0,0
롯데,27,백두산,0.000,1,1,1,0,0,0,0,0,0,0,0,0
롯데,27,이선우,-,5,0,0,1,0,0,0,0,0,0,0,0
롯데,27,이호준,-,3,1,0,2,0,0,0,0,0,0,0,0
한화,1,김태연,0.312,80,301,260,39,81,17,0,11,131,46,3,2
한화,2,황영묵,0.303,76,255,234,34,71,7,2,3,91,28,2,1
한화,3,안치홍,0.298,93,396,352,51,105,14,0,10,149,48,0,3
한화,4,페라자,0.295,77,340,298,55,88,21,0,17,160,55,0,2
한화,5,이재원,0.291,41,89,79,4,23,2,0,0,25,9,1,2
한화,6,박상언,0.286,27,52,42,4,12,3,0,0,15,4,0,0
한화,7,최재훈,0.272,74,232,180,26,49,9,0,1,61,19,5,4
한화,8,노시환,0.271,87,391,351,58,95,13,1,18,164,61,0,0
한화,9,최인호,0.268,75,215,183,30,49,11,2,1,67,17,4,2
한화,10,김인환,0.267,9,18,15,2,4,0,0,1,7,3,0,0
한화,11,이도윤,0.263,88,253,224,30,59,4,2,0,67,29,3,3
한화,12,이원석,0.253,53,112,99,15,25,3,1,0,30,9,1,1
한화,13,문현빈,0.251,69,195,175,21,44,8,2,4,68,24,1,1
한화,14,채은성,0.247,76,314,283,31,70,15,0,9,112,49,0,2
한화,15,장진혁,0.241,50,155,133,32,32,5,0,4,49,19,3,1
한화,16,하주석,0.235,37,91,81,5,19,4,0,0,23,4,2,0
한화,17,김강민,0.224,41,87,76,5,17,0,0,1,20,7,0,0
한화,18,유로결,0.214,8,16,14,3,3,0,0,0,3,1,0,0
한화,19,이상혁,0.200,19,5,5,8,1,0,0,0,1,0,0,0
한화,19,이진영,0.200,23,63,55,9,11,4,0,0,15,8,0,0
한화,21,정은원,0.172,27,78,64,10,11,3,1,1,19,6,1,0
한화,22,임종찬,0.158,24,64,57,10,9,3,2,0,16,7,0,0
한화,23,김서현,-,1,0,0,0,0,0,0,0,0,0,0,0
한화,23,박상원,-,1,0,0,0,0,0,0,0,0,0,0,0
한화,23,이명기,0.000,4,8,7,0,0,0,0,0,0,1,1,0
한화,23,장규현,-,1,0,0,0,0,0,0,0,0,0,0,0
한화,23,주현상,-,2,0,0,0,0,0,0,0,0,0,0,0
키움,1,송성문,0.346,90,363,312,48,108,13,3,12,163,65,0,8
키움,2,도슨,0.341,88,398,358,68,122,31,2,11,190,52,0,1
키움,3,김혜성,0.336,82,366,327,57,110,20,3,10,166,55,0,4
키움,4,이용규,0.293,49,185,150,20,44,3,1,1,52,9,3,1
키움,5,이주형,0.289,63,290,253,52,73,10,2,8,111,34,0,1
키움,6,고영우,0.287,65,199,174,17,50,8,0,0,58,21,2,2
키움,7,원성준,0.273,18,49,44,6,12,4,0,1,19,6,1,1
키움,8,임병욱,0.267,24,48,45,7,12,1,0,1,16,5,0,0
키움,9,김건희,0.260,38,110,100,12,26,3,0,2,35,17,0,2
키움,10,변상권,0.257,42,114,105,7,27,1,0,3,37,12,0,1
키움,11,김재현,0.249,76,231,205,21,51,10,0,0,61,24,6,4
키움,12,주성원,0.233,20,48,43,7,10,1,0,1,14,5,1,0
키움,13,최주환,0.231,82,336,303,28,70,13,0,7,104,44,0,7
키움,14,이원석,0.220,39,109,91,5,20,4,0,0,24,8,0,2
키움,14,이형종,0.220,31,110,91,19,20,3,0,4,35,17,1,0
키움,16,이재상,0.219,29,77,73,7,16,1,0,1,20,5,1,0
키움,17,장재영,0.213,17,57,47,7,10,2,0,1,15,4,0,0
키움,18,박수종,0.203,44,73,64,11,13,1,0,0,14,3,2,0
키움,19,김동헌,0.200,2,7,5,0,1,0,0,0,1,1,0,0
키움,20,김태진,0.191,41,101,94,9,18,3,0,0,21,3,2,0
키움,21,김시앙,0.143,6,7,7,1,1,0,0,0,1,0,0,0
키움,22,김주형,0.125,19,21,16,0,2,0,0,0,2,1,1,0
키움,22,박성빈,0.125,6,9,8,0,1,0,0,0,1,0,0,0
키움,24,임지열,0.102,22,57,49,4,5,0,0,1,8,5,0,1
키움,25,김웅빈,0.077,6,18,13,1,1,0,0,0,1,1,1,0
키움,26,김병휘,-,5,0,0,0,0,0,0,0,0,0,0,0
키움,26,김선기,-,1,0,0,0,0,0,0,0,0,0,0,0
키움,26,김연주,-,4,0,0,0,0,0,0,0,0,0,0,0
키움,26,김윤하,-,1,0,0,0,0,0,0,0,0,0,0,0
키움,26,김재웅,-,2,0,0,0,0,0,0,0,0,0,0,0
